postId;title;license;level;pdf;epub
2534;Why did the polar bear leave;cc-by-nc-sa-4-0;Read Aloud;/en/pdf/Why-did-the-polar-bear-leave.pdf;/en/epub/Why-did-the-polar-bear-leave.epub
2542;Why is Nita upside down?;CC-BY-4.0;Read Aloud;/en/pdf/Why-is-Nita-upside-down.pdf;/en/epub/Why-is-Nita-upside-down.epub
2550;You Wont Bite my Fin;cc-by-nc-sa-4-0;Read Aloud;/en/pdf/You-Wont-Bite-my-Fin.pdf;/en/epub/You-Wont-Bite-my-Fin.epub
2554;Zakadam cant dance;cc-by-nc-sa-4-0;Read Aloud;/en/pdf/Zakadam-cant-dance.pdf;/en/epub/Zakadam-cant-dance.epub
2556;Zanele Situ: My Story: The Story of Zanele Situ;CC-BY-4.0;Read Aloud;/en/pdf/Zanele-Situ-My-Story-The-Story-of-Zanele-Situ.pdf;/en/epub/Zanele-Situ-My-Story-The-Story-of-Zanele-Situ.epub
2358;The Soil;CC-BY-4.0;Level 1;/en/pdf/The-Soil.pdf;/en/epub/The-Soil.epub
26101;Insects in my village;CC-BY-NC-4.0;Level 1;/en/pdf/Insects-in-my-village.pdf;/en/epub/Insects-in-my-village.epub
26099;My Friend’s Palm Plantation;CC-BY-4.0;Level 4;/en/pdf/My-Friends-Palm-Plantation.pdf;/en/epub/My-Friends-Palm-Plantation.epub
26097;Night on Signal Hill;CC-BY-NC-4.0;Level 3;/en/pdf/Night-on-Signal-Hill.pdf;/en/epub/Night-on-Signal-Hill.epub
26095;Fruits and Vegetables;CC-BY-4.0;Level 1;/en/pdf/Fruits-and-Vegetables.pdf;/en/epub/Fruits-and-Vegetables.epub
1538;Aristotle the Water Bottle;cc-by-nc-sa-4-0;Level 3;/en/pdf/Aristotle-the-Water-Bottle.pdf;/en/epub/Aristotle-the-Water-Bottle.epub
2522;Who is Faster?;CC-BY-4.0;Level 1;/en/pdf/Who-is-Faster.pdf;/en/epub/Who-is-Faster.epub
1524;Amazing Daisy;CC-BY-4.0;Read Aloud;/en/pdf/Amazing-Daisy.pdf;/en/epub/Amazing-Daisy.epub
1550;Bathtub Safari;CC-BY-4.0;Read Aloud;/en/pdf/Bathtub-Safari.pdf;/en/epub/Bathtub-Safari.epub
1738;Graca's Dream;CC-BY-4.0;Read Aloud;/en/pdf/Gracas-Dream.pdf;/en/epub/Gracas-Dream.epub
1824;I Will Help You;CC-BY-4.0;Read Aloud;/en/pdf/I-Will-Help-You.pdf;/en/epub/I-Will-Help-You.epub
